1,Ba Đình,Quận,1
2,Hoàn Kiếm,Quận,1
3,Tây Hồ,Quận,1
4,Long Biên,Quận,1
5,Cầu Giấy,Quận,1
6,Đống Đa,Quận,1
7,Hai Bà Trưng,Quận,1
8,Hoàng Mai,Quận,1
9,Thanh Xuân,Quận,1
16,Sóc Sơn,Huyện,1
17,Đông Anh,Huyện,1
18,Gia Lâm,Huyện,1
19,Nam Từ Liêm,Quận,1
20,Thanh Trì,Huyện,1
21,Bắc Từ Liêm,Quận,1
250,Mê Linh,Huyện,1
268,Hà Đông,Quận,1
269,Sơn Tây,Thị xã,1
271,Ba Vì,Huyện,1
272,Phúc Thọ,Huyện,1
273,Đan Phượng,Huyện,1
274,Hoài Đức,Huyện,1
275,Quốc Oai,Huyện,1
276,Thạch Thất,Huyện,1
277,Chương Mỹ,Huyện,1
278,Thanh Oai,Huyện,1
279,Thường Tín,Huyện,1
280,Phú Xuyên,Huyện,1
281,Ứng Hòa,Huyện,1
282,Mỹ Đức,Huyện,1
760,1,Quận,79
761,12,Quận,79
762,Thủ Đức,Quận,79
763,9,Quận,79
764,Gò Vấp,Quận,79
765,Bình Thạnh,Quận,79
766,Tân Bình,Quận,79
767,Tân Phú,Quận,79
768,Phú Nhuận,Quận,79
769,2,Quận,79
770,3,Quận,79
771,10,Quận,79
772,11,Quận,79
773,4,Quận,79
774,5,Quận,79
775,6,Quận,79
776,8,Quận,79
777,Bình Tân,Quận,79
778,7,Quận,79
783,Củ Chi,Huyện,79
784,Hóc Môn,Huyện,79
785,Bình Chánh,Huyện,79
786,Nhà Bè,Huyện,79
787,Cần Giờ,Huyện,79
